amc,Sigla,1991,2000,2010,Amazon
4177,CE,10849,11247,11343,0
4178,CE,11284,11539,12009,0
4179,CE,35689,39078,40296,0
4180,CE,35099,38219,37862,0
4181,CE,14015,13155,13722,0
4182,CE,17155,19560,22324,0
4183,CE,5701,6579,7316,0
4184,CE,60148,80913,108116,0
4185,CE,33645,41093,48350,0
4186,CE,77263,94369,116065,0
4187,CE,12854,16276,18626,0
4188,CE,25548,30347,37471,0
4189,CE,13853,15541,18894,0
4190,CE,17580,18024,17863,0
4191,CE,7718,8730,10399,0
4192,CE,32340,35062,34409,0
4193,CE,25917,29735,32236,0
4194,CE,23964,26414,26688,0
4195,CE,6863,7265,7660,0
4196,CE,173566,212133,249939,0
4197,CE,21100,22632,23807,0
4198,CE,30751,31203,31090,0
4199,CE,41700,49620,56264,0
4200,CE,12660,14864,18088,0
4201,CE,157151,179732,209057,0
4202,CE,71705,88135,113561,0
4203,CE,20704,20427,24703,0
4204,CE,6447,8602,10214,0
4205,CE,23689,29574,35191,0
4206,CE,37153,42399,44240,0
4207,CE,10446,11339,13693,0
4208,CE,24187,26959,28316,0
4209,CE,12019,13028,13086,0
4210,CE,10052,11417,12800,0
4211,CE,29228,32586,34274,0
4212,CE,40833,41215,42690,0
4213,CE,15527,16344,16705,0
4214,CE,58912,64400,62065,0
4215,CE,6272,7046,8070,0
4216,CE,14526,17928,20700,0
4217,CE,11952,13811,14102,0
4218,CE,7842,8897,11485,0
4219,CE,11354,12077,14256,0
4220,CE,26318,26119,27453,0
4221,CE,19828,21584,24007,0
4222,CE,22014,22023,21389,0
4223,CE,31800,44070,61838,0
4224,CE,10100,10929,11607,0
4225,CE,5006,5653,5986,0
4226,CE,7946,8166,8866,0
4227,CE,10236,9859,12005,0
4228,CE,20942,27541,31636,0
4229,CE,19791,25462,30041,0
4230,CE,30079,32302,31309,0
4231,CE,10447,10970,11308,0
4232,CE,38800,40742,41890,0
4233,CE,6435,7017,8226,0
4234,CE,32252,32600,35400,0
4235,CE,14792,15225,15757,0
4236,CE,12442,14951,18683,0
